targeted_fraction,targeted_users,estimated_incremental_outcomes,gross_value,contact_cost,estimated_net_value,value_per_incremental_outcome,cost_per_contact,evaluation_split,selected_on_validation
0.7000000000000001,5967,471.7817734781112,2358.9088673905558,2983.5,-624.5911326094442,5.0,0.5,validation,False
0.7100000000000001,6052,471.77895756818145,2358.894787840907,3026.0,-667.1052121590928,5.0,0.5,validation,False
0.72,6137,481.7763764550748,2408.8818822753738,3068.5,-659.6181177246262,5.0,0.5,validation,False
0.73,6222,489.7744992919181,2448.8724964595904,3111.0,-662.1275035404096,5.0,0.5,validation,False
0.74,6308,497.7716834921182,2488.858417460591,3154.0,-665.1415825394088,5.0,0.5,validation,False
0.75,6393,503.7705102789115,2518.8525513945574,3196.5,-677.6474486054426,5.0,0.5,validation,False
0.76,6478,517.768867857513,2588.844339287565,3239.0,-650.1556607124348,5.0,0.5,validation,False
0.77,6563,527.7672253810496,2638.836126905248,3281.5,-642.663873094752,5.0,0.5,validation,False
0.78,6648,535.7658175362145,2678.8290876810725,3324.0,-645.1709123189275,5.0,0.5,validation,False
0.79,6734,537.7651135862645,2688.8255679313224,3367.0,-678.1744320686776,5.0,0.5,validation,False
0.8,6819,543.7634710547362,2718.817355273681,3409.5,-690.6826447263188,5.0,0.5,validation,False
0.81,6904,541.75948182147,2708.79740910735,3452.0,-743.2025908926498,5.0,0.5,validation,False
0.8200000000000001,6989,551.7564313900417,2758.7821569502084,3494.5,-735.7178430497916,5.0,0.5,validation,False
0.8300000000000001,7075,565.7524423770351,2828.7622118851755,3537.5,-708.7377881148245,5.0,0.5,validation,False
0.8400000000000001,7160,561.7496264120405,2808.7481320602024,3580.0,-771.2518679397976,5.0,0.5,validation,False
0.85,7245,569.7477492488838,2848.738746244419,3622.5,-773.761253755581,5.0,0.5,validation,False
0.86,7330,579.7451681357771,2898.7258406788856,3665.0,-766.2741593211144,5.0,0.5,validation,False
0.87,7416,583.7428215992339,2918.71410799617,3708.0,-789.2858920038302,5.0,0.5,validation,False
0.88,7501,583.7400056893042,2918.700028446521,3750.5,-831.7999715534788,5.0,0.5,validation,False
0.89,7586,591.7385978444692,2958.6929892223457,3793.0,-834.3070107776543,5.0,0.5,validation,False
0.9,7671,595.7376592628908,2978.688296314454,3835.5,-856.811703685546,5.0,0.5,validation,False
0.91,7756,599.7367206813125,2998.6836034065623,3878.0,-879.3163965934377,5.0,0.5,validation,False
0.92,7842,605.7346088314625,3028.6730441573127,3921.0,-892.3269558426873,5.0,0.5,validation,False
0.93,7927,611.732027663291,3058.660138316455,3963.5,-904.8398616835452,5.0,0.5,validation,False
0.9400000000000001,8012,617.7285078584762,3088.642539292381,4006.0,-917.3574607076189,5.0,0.5,validation,False
0.9500000000000001,8097,629.7256921137412,3148.628460568706,4048.5,-899.871539431294,5.0,0.5,validation,False
0.9600000000000001,8183,629.7233455221331,3148.6167276106653,4091.5,-942.8832723893347,5.0,0.5,validation,False
0.97,8268,631.7207642988966,3158.603821494483,4134.0,-975.3961785055171,5.0,0.5,validation,False
0.98,8353,631.7184177072885,3158.5920885364426,4176.5,-1017.9079114635574,5.0,0.5,validation,False
0.99,8438,645.7144286942819,3228.5721434714096,4219.0,-990.4278565285904,5.0,0.5,validation,False
1.0,8523,653.7111435761603,3268.5557178808017,4261.5,-992.9442821191983,5.0,0.5,validation,False
0.01,86,14.003050761817677,70.01525380908839,43.0,27.015253809088392,5.0,0.5,test,False
0.02,171,26.009152065193362,130.0457603259668,85.5,44.545760325966796,5.0,0.5,test,True
0.03,256,48.01408021042728,240.0704010521364,128.0,112.07040105213639,5.0,0.5,test,False
0.04,341,58.01713091718001,290.08565458590004,170.5,119.58565458590004,5.0,0.5,test,False
0.05,427,54.022293363652764,270.1114668182638,213.5,56.61146681826381,5.0,0.5,test,False
0.060000000000000005,512,76.02816014552988,380.14080072764943,256.0,124.14080072764943,5.0,0.5,test,False
0.06999999999999999,597,88.03191485729748,440.1595742864874,298.5,141.65957428648738,5.0,0.5,test,False
0.08,682,98.03684283733664,490.18421418668316,341.0,149.18421418668316,5.0,0.5,test,False
0.09,768,116.04130160918402,580.2065080459201,384.0,196.20650804592015,5.0,0.5,test,False
0.09999999999999999,853,126.04482163425835,630.2241081712917,426.5,203.72410817129173,5.0,0.5,test,False
0.11,938,134.04763765431778,670.2381882715889,469.0,201.2381882715889,5.0,0.5,test,False
0.12,1023,138.05092293763386,690.2546146881693,511.5,178.75461468816934,5.0,0.5,test,False
0.13,1108,152.05538165441624,760.2769082720812,554.0,206.2769082720812,5.0,0.5,test,False
0.14,1194,170.05937110794196,850.2968555397098,597.0,253.29685553970978,5.0,0.5,test,False
0.15000000000000002,1279,166.0612483261634,830.306241630817,639.5,190.806241630817,5.0,0.5,test,False
0.16,1364,174.06547230118758,870.3273615059379,682.0,188.32736150593792,5.0,0.5,test,False
0.17,1449,174.06781889279554,870.3390944639777,724.5,145.83909446397774,5.0,0.5,test,False
0.18000000000000002,1535,178.0720428127548,890.360214063774,767.5,122.86021406377404,5.0,0.5,test,False
0.19,1620,182.07626673271406,910.3813336635703,810.0,100.38133366357033,5.0,0.5,test,False
0.2,1705,176.0802558558502,880.401279279251,852.5,27.901279279250957,5.0,0.5,test,False
0.21000000000000002,1790,174.0818984424433,870.4094922122165,895.0,-24.59050778778351,5.0,0.5,test,False
0.22,1876,180.08447977580946,900.4223988790473,938.0,-37.57760112095275,5.0,0.5,test,False
0.23,1961,186.08565315421083,930.4282657710542,980.5,-50.07173422894584,5.0,0.5,test,False
0.24000000000000002,2046,172.0901114855387,860.4505574276935,1023.0,-162.54944257230648,5.0,0.5,test,False
0.25,2131,170.09316202709658,850.4658101354829,1065.5,-215.0341898645171,5.0,0.5,test,False
0.26,2216,172.096681942041,860.4834097102049,1108.0,-247.5165902897951,5.0,0.5,test,False
0.27,2302,166.09879379189076,830.4939689594538,1151.0,-320.5060310405462,5.0,0.5,test,False
0.28,2387,176.10090586200025,880.5045293100012,1193.5,-312.9954706899988,5.0,0.5,test,False
0.29000000000000004,2472,174.10301776691495,870.5150888345747,1236.0,-365.4849111654253,5.0,0.5,test,False
0.3,2557,166.10442561174986,830.5221280587493,1278.5,-447.97787194125067,5.0,0.5,test,False
0.31,2643,174.10864958677405,870.5432479338702,1321.5,-450.95675206612975,5.0,0.5,test,False
0.32,2728,168.111700073267,840.558500366335,1364.0,-523.441499633665,5.0,0.5,test,False
0.33,2813,182.11381219844142,910.5690609922071,1406.5,-495.93093900779286,5.0,0.5,test,False
0.34,2898,190.11662821850084,950.5831410925042,1449.0,-498.4168589074958,5.0,0.5,test,False
0.35000000000000003,2984,208.12108699034815,1040.6054349517408,1492.0,-451.3945650482592,5.0,0.5,test,False
0.36000000000000004,3069,228.12390317560235,1140.6195158780117,1534.5,-393.8804841219883,5.0,0.5,test,False
0.37,3154,234.12789246393328,1170.6394623196663,1577.0,-406.36053768033366,5.0,0.5,test,False
0.38,3239,246.1311778573792,1230.6558892868961,1619.5,-388.8441107131039,5.0,0.5,test,False
0.39,3324,262.13399398756854,1310.6699699378428,1662.0,-351.3300300621572,5.0,0.5,test,False
0.4,3410,262.13634057917665,1310.6817028958833,1705.0,-394.3182971041167,5.0,0.5,test,False
0.41000000000000003,3495,274.1396259726227,1370.6981298631135,1747.5,-376.80187013688646,5.0,0.5,test,False
0.42000000000000004,3580,282.141503356039,1410.707516780195,1790.0,-379.29248321980504,5.0,0.5,test,False
0.43,3665,308.1454929196946,1540.727464598473,1832.5,-291.77253540152697,5.0,0.5,test,False
0.44,3751,318.14948226309065,1590.7474113154533,1875.5,-284.7525886845467,5.0,0.5,test,False
